Region/Country/Area,Year,Expenditure by level of education: primary (as % of government expenditure),Expenditure by level of education: secondary (as % of government expenditure),Expenditure by level of education: tertiary (as % of government expenditure),Public expenditure on education (% of GDP),GDP in current prices (millions of US dollars),GDP per capita (US dollars),Population mid-year estimates (millions),Students enrolled in primary education (thousands),Students enrolled in secondary education (thousands),Students enrolled in tertiary education (thousands)
"China, Macao SAR",1985,,,,,"1,349","4,756",,,,
"China, Macao SAR",1995,,,,,"6,996","18,139",,,,
"China, Macao SAR",2015,,,,,"45,362","75,485",,24.252,30.088,30.771
"China, Macao SAR",2017,,,,,"50,361","80,893",0.6226,28.438,27.473,32.75
Colombia,1985,,,,,"49,322","1,590",,,,
Colombia,1995,,,,,"110,292","2,946",,,,
Colombia,2015,,,,,"291,520","6,045",,"4,479.22","4,793.96","2,293.55"
Colombia,2016,,,,,"280,091","5,757",,,,
Comoros,1985,,,,,240,675,,,,
Comoros,1995,,,,,483,"1,016",,,,
Comoros,2005,,,,,787,"1,287",0.6116,,,
Comoros,2010,,,,,907,"1,315",0.6897,,,3.905
Comoros,2016,,,,,"1,021","1,283",,,,
Comoros,2017,,,,,"1,082","1,330",0.8139,121.517,67.445,
Congo,1985,,,,,"2,339","1,099",,,,
Congo,1995,,,,,"2,207",789,,,,
Congo,2016,,,,,"10,100","1,970",,,,
Congo,2017,,,,,"11,292","2,147",5.1107,,,
Cook Islands,1985,,,,,28,"1,591",,,,
Cook Islands,1995,,,,,106,"5,588",,,,
Cook Islands,2005,,,,,183,"9,262",0.0197,2.201,1.899,
Cook Islands,2010,,,,,255,"13,758",0.0185,1.841,1.893,
Cook Islands,2015,,,,,285,"16,350",,1.789,1.724,
Cook Islands,2017,,,,,309,"17,798",0.0174,,,
Costa Rica,1985,,,,,"4,989","1,827",,,,
Costa Rica,1995,,,,,"11,507","3,278",,,,
Costa Rica,2005,,,,,"19,952","4,697",4.2855,542.087,347.244,
Costa Rica,2015,,,,,"54,776","11,393",,473.447,460.252,217.841
Costa Rica,2016,,,,,"56,989","11,733",,475.756,462.855,217.55
Côte dIvoire,1985,,,,,"6,978",683,,,,
Côte dIvoire,1995,,,,,"11,105",764,,,,
Côte dIvoire,2005,,,,,"17,085",932,18.3545,,,
Côte dIvoire,2010,,,,,"24,885","1,220",20.533,,,
Côte dIvoire,2015,,,,,"33,119","1,433",,,,
Côte dIvoire,2016,,,,,"35,293","1,489",,,,
Côte dIvoire,2017,,,,,"38,055","1,566",24.4375,,,
Croatia,1995,,,,,"22,388","4,849",,,,
Croatia,2005,,,,,"45,347","10,358",4.3781,196.253,400.123,134.658
Croatia,2015,,,,,"49,519","11,690",,162.355,360.205,162.022
Croatia,2016,,,,,"51,624","12,253",,162.519,349.018,162.017
Croatia,2017,,,,,"55,201","13,177",4.1829,,,
Cuba,1985,,,,,"22,921","2,273",,,,
Cuba,1995,,,,,"30,428","2,790",,,,
Cuba,2015,,,,,"87,206","7,609",,745.733,825.055,261.413
Cuba,2016,,,,,"91,370","7,962",,,,
Cuba,2017,,,,,"96,851","8,433",11.3393,733.77,815.786,286.542
Curaçao,2005,,,,,"2,345","18,120",0.1301,,,
Curaçao,2010,,,,,"2,951","19,994",0.1492,,,
Curaçao,2015,,,,,"3,152","19,948",,,,
Curaçao,2016,,,,,"3,122","19,591",,,,
Cyprus,1985,,,,,"2,682","4,957",,,,
Cyprus,1995,,,,,"9,827","15,102",,,,
Cyprus,2016,,,,,"20,453","24,110",,,,
Cyprus,2017,,,,,"22,054","25,790",1.1797,,,
Czechia,1995,,,,,"59,774","5,771",,,,
Czechia,2016,,,,,"195,090","18,386",,557.455,765.502,371.948
Czechia,2017,,,,,"215,825","20,326",10.641,,,
Dem. People's Rep. Korea,1985,,,,,"12,075",722,,,,
Dem. People's Rep. Korea,1995,,,,,"4,849",222,,,,
Dem. People's Rep. Korea,2005,,,,,"13,031",548,23.9042,,,
Dem. People's Rep. Korea,2010,,,,,"13,945",570,24.5488,,,
Dem. People's Rep. Korea,2015,,,,,"16,283",648,,"1,357.61","2,148.36",565.35
Dem. People's Rep. Korea,2016,,,,,"16,789",665,,,,
Dem. People's Rep. Korea,2017,,,,,"17,365",685,25.4298,,,
Dem. Rep. of the Congo,1985,,,,,"7,524",252,,,,
Dem. Rep. of the Congo,1995,,,,,"8,947",215,,,,
Dem. Rep. of the Congo,2005,,,,,"11,965",219,54.7859,,,
Dem. Rep. of the Congo,2016,,,,,"40,338",512,,,,464.678
Denmark,1985,,,,,"62,659","12,252",,,,
Denmark,1995,,,,,"185,008","35,356",,,,
Denmark,2015,,,,,"302,673","53,206",,468.536,553.263,313.756
Denmark,2016,,,,,"311,988","54,621",,471.787,540.622,314.822
Denmark,2017,,,,,"329,866","57,533",5.7323,,,
Djibouti,1985,,,,,360,846,,,,
Djibouti,1995,,,,,497,788,,,,
Djibouti,2015,,,,,"1,634","1,762",,62.94,59.483,
Djibouti,2016,,,,,"1,764","1,872",,,,
Djibouti,2017,,,,,"1,845","1,928",0.9441,,,
Dominica,1985,,,,,117,"1,586",,,,
Dominica,1995,,,,,260,"3,639",,,,
Dominica,2005,,,,,370,"5,245",0.0706,9.441,7.476,
Dominica,2010,,,,,494,"6,912",0.0714,8.138,6.766,
Dominica,2016,,,,,575,"7,825",,7.323,,
Dominica,2017,,,,,497,"6,719",0.0739,,,
Dominican Republic,1985,,,,,"5,618",866,,,,
Dominican Republic,1995,,,,,"15,747","1,995",,,,
Dominican Republic,2005,,,,,"35,510","3,844",9.0973,"1,289.75",808.352,
Dominican Republic,2010,,,,,"53,160","5,371",9.6951,"1,317.80",904.527,
Dominican Republic,2015,,,,,"68,802","6,535",,"1,307.13",929.493,480.103
Dominican Republic,2016,,,,,"72,343","6,794",,,,
Dominican Republic,2017,,,,,"75,932","7,052",10.5131,"1,253.34",924.737,556.523
Ecuador,1985,,,,,"17,141","1,895",,,,
Ecuador,1995,,,,,"24,421","2,135",,,,
Ecuador,2005,,,,,"41,507","3,022",13.8258,"1,997.62","1,053.18",
Ecuador,2016,,,,,"98,614","6,019",,"1,951.19","1,929.52",
Ecuador,2017,,,,,"104,296","6,273",16.7854,,,
Egypt,1985,,,,,"23,801",474,,,,
Egypt,1995,,,,,"65,758","1,032",,,,
Egypt,2010,,,,,"214,630","2,552",82.7612,"10,542.14","6,845.75","2,645.83"
Egypt,2015,,,,,"317,745","3,388",,,,"2,868.91"
Egypt,2016,,,,,"270,255","2,824",,"11,764.16","8,744.80","2,789.28"
Egypt,2017,,,,,"195,136","2,000",96.4426,"12,161.38","8,938.26",
El Salvador,1985,,,,,"5,183","1,053",,,,
El Salvador,1995,,,,,"8,922","1,590",,,,
El Salvador,2015,,,,,"23,166","3,670",,741.394,599.947,179.396
Equatorial Guinea,1985,,,,,88,246,,,,
Equatorial Guinea,1995,,,,,215,427,,,,
Equatorial Guinea,2005,,,,,"8,520","11,250",0.7495,75.809,25.544,
Equatorial Guinea,2010,,,,,"16,299","17,136",0.9436,85.061,,
Equatorial Guinea,2015,,,,,"13,176","11,209",,93.396,,
Equatorial Guinea,2016,,,,,"11,253","9,213",,,,
Equatorial Guinea,2017,,,,,"12,487","9,850",1.262,,,
Eritrea,1995,,,,,640,207,,,,
Eritrea,2005,,,,,"1,098",277,2.8267,377.512,216.944,
Eritrea,2010,,,,,"2,117",482,3.1704,286.021,248.082,12.039
Eritrea,2015,,,,,"4,442",916,,361.684,245.806,10.938
Eritrea,2016,,,,,"5,005","1,010",,,,10.231
Eritrea,2017,,,,,"5,813","1,147",3.4129,347.009,247.424,
Estonia,1995,,,,,"4,423","3,086",,,,
Estonia,2016,,,,,"23,338","17,782",,82.824,80.212,51.092
Estonia,2017,,,,,"25,921","19,793",1.3194,,,
Eswatini,1985,,,,,539,764,,,,
Eswatini,1995,,,,,"1,902","1,979",,,,
Eswatini,2015,,,,,"4,020","3,048",,241.404,100.494,
Eswatini,2016,,,,,"3,721","2,770",,239.028,108.288,
Eswatini,2017,,,,,"4,409","3,224",1.1248,,,
Ethiopia,1995,,,,,"7,587",132,,,,
Ethiopia,2005,,,,,"12,164",159,76.3463,"10,019.73","2,488.47",191.212
Ethiopia,2016,,,,,"70,314",687,,,,
Ethiopia,2017,,,,,"75,605",720,106.3999,,,
Fiji,1985,,,,,"1,143","1,605",,,,
Fiji,1995,,,,,"1,993","2,570",,,,
Fiji,2010,,,,,"3,140","3,652",0.8598,,,
Fiji,2015,,,,,"4,362","4,890",,108.727,,
Fiji,2016,,,,,"4,575","5,090",,110.127,,
Fiji,2017,,,,,"4,874","5,382",0.8775,,,
Finland,1985,,,,,"55,914","11,385",,,,
Finland,1995,,,,,"134,196","26,215",,,,
Finland,2016,,,,,"239,052","43,439",,359.635,539.816,297.163
Finland,2017,,,,,"252,247","45,670",5.5114,,,
France,1985,,,,,"553,143","9,737",,,,
France,1995,,,,,"1,600,997","26,707",,,,
France,2016,,,,,"2,465,134","36,822",,"4,284.17","6,016.61","2,480.19"
France,2017,,,,,"2,582,492","38,415",64.8425,,,
French Polynesia,1985,,,,,"1,716","9,795",,,,
French Polynesia,1995,,,,,"4,421","20,542",,,,
French Polynesia,2005,,,,,"5,703","22,374",0.2588,,,
French Polynesia,2010,,,,,"6,081","22,704",0.2665,,,
French Polynesia,2015,,,,,"5,262","18,950",,,,
French Polynesia,2016,,,,,"5,368","19,156",,,,
French Polynesia,2017,,,,,"5,606","19,807",0.2761,,,
Gabon,1985,,,,,"4,639","5,589",,,,
Gabon,1995,,,,,"5,519","5,081",,,,
Gabon,2005,,,,,"9,579","6,827",1.3905,,,
Gabon,2015,,,,,"14,372","7,446",,,,
Gabon,2016,,,,,"13,992","7,068",,,,
Gabon,2017,,,,,"14,623","7,221",2.0648,,,
Gambia,1985,,,,,990,"1,352",,,,
Gambia,1995,,,,,"1,189","1,115",,,,
Gambia,2015,,,,,"1,394",705,,293.503,,
Gambia,2017,,,,,"1,489",709,2.2139,,,
Georgia,1995,,,,,"2,703",539,,,,
Georgia,2010,,,,,"11,638","2,750",4.0991,289.137,,105.696
Georgia,2015,,,,,"13,993","3,541",,288.541,277.874,127.633
Georgia,2016,,,,,"14,378","3,663",,,,
Germany,1985,,,,,"729,751","9,390",,,,
Germany,1995,,,,,"2,591,447","31,898",,,,
Germany,2005,,,,,"2,861,339","35,035",81.6027,"3,306.14","8,267.64",
Germany,2016,,,,,"3,495,163","42,668",,"2,895.20","7,073.16","3,043.08"
Germany,2017,,,,,"3,693,204","44,976",82.6584,,,
Ghana,1985,,,,,"8,743",688,,,,
Ghana,1995,,,,,"13,714",818,,,,
Ghana,2015,,,,,"49,182","1,783",,"4,342.32","2,439.50",417.534
Ghana,2016,,,,,"55,010","1,950",,,,
Greece,1985,,,,,"47,816","4,794",,,,
Greece,1995,,,,,"136,886","12,687",,,,
Greece,2010,,,,,"299,362","26,154",10.8876,642.639,716.601,641.844
Greece,2015,,,,,"196,591","17,525",,643.762,662.741,
Greece,2016,,,,,"195,222","17,456",,646.577,662.446,709.488
Greece,2017,,,,,"203,086","18,198",10.5695,,,
Greenland,1985,,,,,451,"8,482",,,,
Greenland,1995,,,,,"1,321","23,671",,,,
Greenland,2005,,,,,"1,850","32,481",0.057,,,
Greenland,2010,,,,,"2,503","44,196",0.0566,,,
Greenland,2015,,,,,"2,499","44,329",,,,
Greenland,2016,,,,,"2,714","48,102",0.0564,,,
Greenland,2017,,,,,"2,790","49,398",0.0565,,,
Grenada,1985,,,,,136,"1,359",,,,
Grenada,1995,,,,,278,"2,775",,,,
Grenada,2005,,,,,695,"6,755",0.1047,14.427,12.549,
Grenada,2010,,,,,771,"7,366",0.1062,13.663,11.5,
Grenada,2015,,,,,997,"9,333",,13.445,9.309,9.236
Grenada,2017,,,,,"1,127","10,451",0.1109,13.464,8.834,9.182
Guatemala,1985,,,,,"9,967","1,210",,,,
Guatemala,1995,,,,,"13,066","1,255",,,,
Guatemala,2005,,,,,"27,211","2,078",13.096,"2,345.30",754.496,
Guatemala,2015,,,,,"63,767","3,924",,"2,381.92","1,220.65",366.674
Guatemala,2016,,,,,"68,663","4,141",,,,
Guinea,1985,,,,,"2,848",560,,,,
Guinea,1995,,,,,"5,260",668,,,,
Guinea,2015,,,,,"8,794",727,,,,
Guinea,2016,,,,,"8,694",701,,"1,776.56",,
Guinea-Bissau,1985,,,,,415,462,,,,
Guinea-Bissau,1995,,,,,800,703,,,,
Guinea-Bissau,2005,,,,,587,425,1.3449,252.488,50.507,3.122
Guinea-Bissau,2015,,,,,"1,047",592,,,,
Guinea-Bissau,2016,,,,,"1,178",649,,,,
Guinea-Bissau,2017,,,,,"1,347",724,1.8281,,,
Guyana,1985,,,,,737,956,,,,
Guyana,1995,,,,,991,"1,302",,,,
Guyana,2015,,,,,"3,166","4,120",,,,
Guyana,2016,,,,,"3,504","4,531",,,,
Haiti,1985,,,,,"2,665",417,,,,
Haiti,1995,,,,,"2,696",345,,,,
Haiti,2005,,,,,"4,154",448,9.1953,,,
Haiti,2010,,,,,"6,708",671,9.9493,,,
Haiti,2015,,,,,"8,355",780,,,,
Haiti,2017,,,,,"8,521",776,10.9824,,,
Honduras,1985,,,,,"4,342","1,014",,,,
Honduras,1995,,,,,"4,724",828,,,,
Honduras,2005,,,,,"9,757","1,323",7.459,"1,231.53",,
Honduras,2010,,,,,"15,839","1,933",8.3175,"1,274.90",655.294,169.878
Honduras,2016,,,,,"21,644","2,375",,,,
Hungary,1985,,,,,"23,709","2,244",,,,
Hungary,1995,,,,,"46,432","4,486",,,,
Hungary,2016,,,,,"126,008","12,920",,394.433,808.744,295.328
Hungary,2017,,,,,"139,761","14,376",9.7298,,,
Iceland,1985,,,,,"2,940","12,169",,,,
Iceland,1995,,,,,"7,018","26,223",,,,
Iceland,2016,,,,,"20,716","62,309",,31.194,35.651,18.59
Iceland,2017,,,,,"24,477","73,060",0.3344,,,
India,1985,,,,,"222,557",285,,,,
India,1995,,,,,"362,877",378,,,,
India,2015,,,,,"2,145,537","1,639",,"138,518.03","129,542.06","32,107.42"
India,2016,,,,,"2,270,060","1,714",,"145,802.54","132,161.36","32,391.80"
India,2017,,,,,"2,575,667","1,923",1338.6768,,,"33,374.11"
Indonesia,1985,,,,,"102,171",617,,,,
Indonesia,1995,,,,,"236,456","1,195",,,,
Indonesia,2016,,,,,"932,256","3,570",,,,
Indonesia,2017,,,,,"1,015,539","3,847",264.651,"29,351.82","24,318.26","7,983.63"
Iran (Islamic Republic of),1985,,,,,"76,257","1,611",,,,
Iran (Islamic Republic of),1995,,,,,"114,364","1,888",,,,
Iran (Islamic Republic of),2015,,,,,"393,436","4,958",,"7,670.18","5,712.48",
Iran (Islamic Republic of),2016,,,,,"425,403","5,299",,"8,006.28","5,713.65","4,348.38"
Iraq,1985,,,,,"12,074",775,,,,
Iraq,1995,,,,,"3,477",172,,,,
Iraq,2005,,,,,"36,268","1,343",26.9223,,,424.908
Iraq,2010,,,,,"117,138","3,808",29.742,,,
Iraq,2015,,,,,"161,316","4,467",,,,
Iraq,2016,,,,,"161,530","4,342",,,,
Iraq,2017,,,,,"182,024","4,756",37.5528,,,
Ireland,1985,,,,,"21,296","5,974",,,,
Ireland,1995,,,,,"69,225","18,958",,,,
Ireland,2016,,,,,"302,243","63,952",,553.585,360.088,218.411
Ireland,2017,,,,,"331,430","69,604",4.7533,,,
Israel,1985,,,,,"27,379","6,706",,,,
Israel,1995,,,,,"100,239","18,793",,,,
Israel,2016,,,,,"319,378","38,987",,,,
Israel,2017,,,,,"353,268","42,452",8.2438,917.118,819.462,377.21
Italy,1985,,,,,"450,706","7,905",,,,
Italy,1995,,,,,"1,170,824","20,449",,,,
Italy,2016,,,,,"1,869,117","31,451",,"2,831.82","4,589.55","1,815.95"
Italy,2017,,,,,"1,943,835","32,747",60.6737,,,
Jamaica,1985,,,,,"2,605","1,114",,,,
Jamaica,1995,,,,,"6,578","2,592",,,,
Jamaica,2015,,,,,"14,187","4,940",,259.449,215.2,74.537
Jamaica,2016,,,,,"14,077","4,886",,,,
Japan,1985,,,,,"1,398,893","11,476",,,,
Japan,1995,,,,,"5,449,118","43,118",,,,
Japan,2005,,,,,"4,755,410","37,054",128.3261,,,
Japan,2010,,,,,"5,700,098","44,341",128.5424,,,
Japan,2015,,,,,"4,394,978","34,342",,"6,638.17","7,221.14","3,845.40"
Japan,2017,,,,,"4,872,415","38,220",,,,
Jordan,1985,,,,,"5,173","1,786",,,,
Jordan,1995,,,,,"6,802","1,488",,,,
Jordan,2005,,,,,"12,720","2,226",5.7656,804.904,625.682,217.823
Jordan,2010,,,,,"26,520","3,692",7.2615,819.601,709.712,246.928
Jordan,2015,,,,,"37,923","4,140",,,,312.75
Jordan,2016,,,,,"39,197","4,145",,,,
Kazakhstan,1995,,,,,"20,563","1,282",,,,
Kazakhstan,2010,,,,,"148,047","9,028",16.2523,957.919,"1,817.98",756.706
Kazakhstan,2015,,,,,"184,388","10,388",,"1,196.03","1,679.27",658.413
Kazakhstan,2016,,,,,"137,278","7,632",,,,
Kenya,1985,,,,,"9,110",464,,,,
Kenya,1995,,,,,"13,428",491,,,,
Kenya,2016,,,,,"70,875","1,463",,"8,290.45",,539.749
Kiribati,1985,,,,,30,468,,,,
Kiribati,1995,,,,,56,720,,,,
Kiribati,2005,,,,,112,"1,215",0.0923,16.133,11.522,
Kiribati,2010,,,,,156,"1,521",0.1029,,,
Kiribati,2015,,,,,169,"1,505",,15.915,,
Kiribati,2016,,,,,182,"1,587",,,,
Kiribati,2017,,,,,197,"1,694",0.1142,16.695,,
Kosovo,1995,,,,,"5,304","2,351",,,,
Kosovo,2005,,,,,"3,680","2,074",,,,
Kosovo,2010,,,,,"5,830","3,354",,,,
Kosovo,2015,,,,,"6,440","3,668",,,,
Kosovo,2016,,,,,"6,714","3,811",,,,
Kosovo,2017,,,,,"7,228","4,116",,,,
Kuwait,1985,,,,,"21,446","12,333",,,,
Kuwait,1995,,,,,"26,554","16,487",,,,
Kuwait,2010,,,,,"115,416","38,497",2.9919,213.733,263.554,
Kuwait,2015,,,,,"114,586","29,114",,264.185,302.047,
Kuwait,2016,,,,,"109,407","26,997",,,,
Kuwait,2017,,,,,"119,534","28,897",4.0561,275.334,,
Kyrgyzstan,1995,,,,,"1,492",327,,,,
Kyrgyzstan,2015,,,,,"6,678","1,139",,451.212,643.407,265.382
Lao People's Dem. Rep.,1985,,,,,626,170,,,,
Lao People's Dem. Rep.,1995,,,,,"1,852",382,,,,
Lao People's Dem. Rep.,2015,,,,,"14,390","2,159",,850.466,640.231,130.191
Lao People's Dem. Rep.,2016,,,,,"15,806","2,339",,,,
Lao People's Dem. Rep.,2017,,,,,"16,853","2,457",6.953,808.705,677.497,111.411
Latvia,1995,,,,,"5,404","2,154",,,,
Latvia,2005,,,,,"16,922","7,514",2.252,84.369,271.631,130.706
Latvia,2016,,,,,"27,695","14,055",,,,
Latvia,2017,,,,,"30,463","15,625",1.9511,121.506,117.36,82.914
Lebanon,1985,,,,,"2,275",850,,,,
Lebanon,1995,,,,,"11,506","3,793",,,,
Lebanon,2015,,,,,"49,974","8,540",,491.455,382.427,216.468
Lebanon,2016,,,,,"51,239","8,530",,,,
Lebanon,2017,,,,,"53,394","8,778",6.8194,502.505,401.031,221.159
Lesotho,1985,,,,,297,202,,,,
Lesotho,1995,,,,,955,542,,,,
Lesotho,2010,,,,,"2,386","1,169",1.9956,388.681,125.823,
Lesotho,2015,,,,,"2,506","1,152",,361.637,133.434,21.664
Lesotho,2016,,,,,"2,291","1,040",,,,
Lesotho,2017,,,,,"2,632","1,178",2.0915,367.931,136.497,
Liberia,1985,,,,,"1,076",491,,,,
Liberia,1995,,,,,209,101,,,,
Liberia,2005,,,,,706,217,3.2181,,,
Liberia,2010,,,,,"1,292",327,3.8914,,,33.47
Liberia,2015,,,,,"2,669",593,,684.404,226.832,
Liberia,2016,,,,,"2,757",598,,694.481,227.153,
Libya,1985,,,,,"29,887","7,715",,,,
Libya,1995,,,,,"28,292","5,717",,,,
Libya,2005,,,,,"45,451","7,846",5.7986,713.902,701.536,
Libya,2010,,,,,"80,942","13,121",6.1977,,,
Libya,2015,,,,,"17,666","2,833",,,,
Libya,2016,,,,,"15,320","2,434",,,,
Libya,2017,,,,,"25,127","3,942",6.5807,,,
Liechtenstein,1985,,,,,681,"24,995",,,,
Liechtenstein,1995,,,,,"2,695","87,414",,,,
Liechtenstein,2005,,,,,"4,046","116,095",0.0349,2.242,3.142,0.527
Liechtenstein,2010,,,,,"5,621","156,127",0.036,2.067,3.274,0.787
Liechtenstein,2015,,,,,"6,269","167,594",,1.977,3.349,0.75
Liechtenstein,2016,,,,,"6,215","164,994",0.0377,1.998,3.272,0.774
Liechtenstein,2017,,,,,"6,296","166,022",0.0379,,,
Lithuania,1995,,,,,"6,702","1,848",,,,
Lithuania,2016,,,,,"42,973","14,776",,110.193,250.87,133.759
Lithuania,2017,,,,,"47,544","16,450",2.8454,,,
Luxembourg,1985,,,,,"4,738","12,915",,,,
Luxembourg,1995,,,,,"21,588","52,894",,,,
Luxembourg,2005,,,,,"37,346","81,571",0.4578,35.016,35.946,
Luxembourg,2010,,,,,"53,212","104,772",0.5079,35.187,42.536,5.376
Luxembourg,2016,,,,,"58,961","102,408",,36.626,47.715,6.954
Luxembourg,2017,,,,,"62,316","106,806",0.5919,,,
Madagascar,1985,,,,,"2,791",277,,,,
Madagascar,1995,,,,,"3,726",277,,,,
Madagascar,2010,,,,,"10,250",485,21.1516,"4,241.92",,74.444
Madagascar,2015,,,,,"11,243",464,,"4,763.52","1,536.21",117.012
Madagascar,2016,,,,,"11,487",461,,"4,733.73","1,561.31",121.818
Madagascar,2017,,,,,"13,208",517,25.5705,,"1,534.27",
Malawi,1985,,,,,"2,028",281,,,,
Malawi,1995,,,,,"2,474",250,,,,
Malawi,2005,,,,,"3,656",280,12.626,"2,868.04",516.462,5.81
Malawi,2015,,,,,"6,430",366,,"4,204.50",961.589,
Malaysia,1985,,,,,"31,200","2,000",,,,
Malaysia,1995,,,,,"88,833","4,334",,,,
Malaysia,2005,,,,,"143,534","5,594",25.6906,"3,202.01","2,489.12",696.76
Malaysia,2015,,,,,"296,636","9,655",,"3,107.87","2,801.44","1,302.09"
Malaysia,2016,,,,,"296,753","9,515",,,,
Maldives,1985,,,,,166,875,,,,
Maldives,1995,,,,,566,"2,229",,,,
Maldives,2015,,,,,"4,109","9,822",,42.137,,
Maldives,2017,,,,,"4,866","11,151",0.4964,45.326,,
Mali,1985,,,,,"1,260",161,,,,
Mali,1995,,,,,"2,837",295,,,,
Mali,2015,,,,,"13,095",750,,"2,227.08",945.484,83.15
Mali,2017,,,,,"15,236",822,18.5124,"2,538.50","1,017.42",
Malta,1985,,,,,"1,156","3,311",,,,
Malta,1995,,,,,"3,697","9,722",,,,
Malta,2005,,,,,"6,393","15,716",0.4047,29.596,40.129,9.441
Malta,2016,,,,,"11,261","26,227",,25.177,28.776,13.329
Malta,2017,,,,,"12,553","29,137",0.4379,,,
Marshall Islands,1985,,,,,44,"1,155",,,,
Marshall Islands,1995,,,,,121,"2,379",,,,
Marshall Islands,2005,,,,,138,"2,651",0.0521,8.055,5.26,
Marshall Islands,2010,,,,,165,"3,143",0.0524,,,
Marshall Islands,2015,,,,,179,"3,386",,8.236,5.454,
Marshall Islands,2016,,,,,194,"3,665",0.0531,7.941,5.5,
Marshall Islands,2017,,,,,199,"3,753",0.0531,,,
Mauritania,1985,,,,,"1,085",613,,,,
Mauritania,1995,,,,,"1,681",722,,,,
Mauritania,2005,,,,,"2,184",698,3.0242,443.615,92.796,8.758
Mauritania,2015,,,,,"4,833","1,155",,632.761,187.56,20.8
Mauritania,2017,,,,,"4,992","1,129",4.2826,627.085,209.126,19.371
Mauritius,1985,,,,,"1,152","1,134",,,,
Mauritius,1995,,,,,"4,273","3,786",,,,
Mauritius,2015,,,,,"11,692","9,284",,101.633,129.008,37.871
Mauritius,2016,,,,,"12,221","9,683",,,,
Mexico,1985,,,,,"224,593","2,903",,,,
Mexico,1995,,,,,"360,073","3,829",,,,
Mexico,2016,,,,,"1,077,830","8,451",,,,
Mexico,2017,,,,,"1,158,229","8,967",124.7773,"14,182.29","14,034.55","4,430.25"
Micronesia (Fed. States of),1985,,,,,108,"1,262",,,,
Micronesia (Fed. States of),1995,,,,,222,"2,063",,,,
Micronesia (Fed. States of),2005,,,,,251,"2,360",0.1061,18.793,13.634,
Micronesia (Fed. States of),2010,,,,,297,"2,862",0.1029,,,
Micronesia (Fed. States of),2016,,,,,330,"3,144",,,,
Micronesia (Fed. States of),2017,,,,,336,"3,188",0.1115,,,
Monaco,1985,,,,,"1,059","36,724",,,,
Monaco,1995,,,,,"3,070","100,041",,,,
Monaco,2005,,,,,"4,203","124,374",0.0338,,,
Monaco,2015,,,,,"6,259","163,394",,1.959,3.297,
Monaco,2017,,,,,"6,401","165,421",0.0387,2.018,3.426,0.872
Mongolia,1985,,,,,"1,218",634,,,,
Mongolia,1995,,,,,"1,678",730,,,,
Mongolia,2005,,,,,"2,926","1,158",2.5264,251.205,339.249,123.824
Mongolia,2015,,,,,"11,750","3,947",,251.204,,179.54
Mongolia,2016,,,,,"11,187","3,695",,,,
Montenegro,1995,,,,,"1,215","1,958",,,,
Montenegro,2005,,,,,"2,279","3,697",0.6164,37.812,68.471,11.011
Montenegro,2010,,,,,"4,139","6,630",0.6243,35.264,69.619,23.786
Montenegro,2015,,,,,"4,053","6,452",,37.585,60.504,
Montenegro,2016,,,,,"4,374","6,958",,,,
Montenegro,2017,,,,,"4,845","7,703",0.6276,38.74,57.575,25.014
Montserrat,1985,,,,,44,"3,850",,,,
Montserrat,1995,,,,,69,"6,728",,,,
Montserrat,2005,,,,,49,"10,229",0.0048,0.509,0.298,
Montserrat,2010,,,,,56,"11,228",0.0049,,,0.061
Montserrat,2015,,,,,61,"11,979",,,,
Montserrat,2016,,,,,63,"12,197",0.0052,,,
Montserrat,2017,,,,,60,"11,582",0.0052,0.452,0.327,
Morocco,1985,,,,,"15,111",670,,,,
Morocco,1995,,,,,"38,728","1,430",,,,
Morocco,2005,,,,,"62,545","2,049",30.4556,"4,022.60","1,948.01",367.556
Morocco,2010,,,,,"93,217","2,876",32.3434,"3,945.20","2,393.28",447.036
Morocco,2015,,,,,"101,179","2,907",,"4,039.39",,877.404
Morocco,2016,,,,,"103,346","2,930",,,,
Morocco,2017,,,,,"109,709","3,070",35.5813,"4,210.68","2,847.12","1,009.79"
Mozambique,1985,,,,,"8,103",624,,,,
Mozambique,1995,,,,,"2,572",163,,,,
Mozambique,2010,,,,,"10,154",419,23.5316,"5,277.87",671.902,103.85
Mozambique,2015,,,,,"14,798",528,,"5,902.00","1,073.11",174.802
Mozambique,2016,,,,,"10,897",378,,,,
Mozambique,2017,,,,,"12,652",426,28.649,"6,138.52","1,216.21",200.649
Myanmar,1985,,,,,"6,607",177,,,,
Myanmar,1995,,,,,"7,764",180,,,,
Myanmar,2005,,,,,"11,931",246,48.9499,"4,948.20","2,589.31",
Myanmar,2010,,,,,"41,445",826,50.6008,"5,125.94","2,852.45",
Myanmar,2015,,,,,"62,543","1,193",,,,
Myanmar,2016,,,,,"64,560","1,221",,,,
Namibia,1985,,,,,"1,606","1,399",,,,
Namibia,1995,,,,,"3,942","2,382",,,,
Namibia,2005,,,,,"7,121","3,504",1.9383,404.198,148.104,13.566
Namibia,2015,,,,,"11,657","4,806",,,,49.678
Namibia,2016,,,,,"11,309","4,561",,,,53.661
Namibia,2017,,,,,"13,245","5,227",2.4026,476.36,,
Nauru,1985,,,,,33,"4,043",,,,
Nauru,1995,,,,,35,"3,496",,,,
Nauru,2005,,,,,26,"2,600",0.0101,1.812,0.6,
Nauru,2010,,,,,62,"6,234",0.01,,,
